aleatorio,grado,cercania,harmonica,pagerank,intermediacion,num_ataques
1.0,1.0,0.9991853360488798,1.0,1.0,0.9991853360488798,0.018
1.0,1.0,0.9991850040749797,1.0,1.0,0.9991850040749797,0.0184
1.0,1.0,0.9991846718304117,1.0,1.0,0.9991846718304117,0.0188
1.0,1.0,0.9991843393148451,1.0,1.0,0.9991843393148451,0.0192
1.0,1.0,0.9991840065279478,1.0,1.0,0.9991840065279478,0.0196
1.0,1.0,0.9991836734693877,1.0,1.0,0.9991836734693877,0.02
1.0,1.0,0.9991833401388321,1.0,1.0,0.9991833401388321,0.0204
1.0,1.0,0.9991830065359477,1.0,1.0,0.9991830065359477,0.0208
1.0,1.0,0.9991826726604005,1.0,1.0,0.9991826726604005,0.0212
1.0,1.0,0.9991823385118561,1.0,1.0,0.9991823385118561,0.0216
1.0,1.0,0.9991820040899796,1.0,1.0,0.9991820040899796,0.022
1.0,1.0,0.9991816693944353,1.0,1.0,0.9991816693944353,0.0224
1.0,1.0,0.9991813344248874,1.0,1.0,0.9991813344248874,0.0228
1.0,1.0,0.9991809991809992,1.0,1.0,0.9991809991809992,0.0232
1.0,1.0,0.9991806636624334,1.0,1.0,0.9991806636624334,0.0236
1.0,1.0,0.9991803278688525,1.0,1.0,0.9991803278688525,0.024
1.0,1.0,0.999179991799918,1.0,1.0,0.999179991799918,0.0244
1.0,1.0,0.9991796554552912,1.0,1.0,0.9991796554552912,0.0248
1.0,1.0,0.9991793188346327,1.0,1.0,0.9991793188346327,0.0252
1.0,1.0,0.9991789819376026,1.0,1.0,0.9991789819376026,0.0256
1.0,1.0,0.9991786447638604,1.0,1.0,0.9991786447638604,0.026
1.0,1.0,0.9991783073130649,1.0,1.0,0.9991783073130649,0.0264
1.0,1.0,0.9991779695848746,1.0,1.0,0.9991779695848746,0.0268
1.0,1.0,0.9991776315789473,1.0,1.0,0.9991776315789473,0.0272
1.0,1.0,0.9991772932949403,1.0,1.0,0.9991772932949403,0.0276
1.0,1.0,0.9991769547325103,1.0,1.0,0.9991769547325103,0.028
1.0,1.0,0.9991766158913133,1.0,1.0,0.9991766158913133,0.0284
1.0,1.0,0.999176276771005,1.0,1.0,0.999176276771005,0.0288
1.0,1.0,0.9991759373712402,1.0,1.0,0.9991759373712402,0.0292
1.0,1.0,0.9991755976916735,1.0,1.0,0.9991755976916735,0.0296
1.0,1.0,0.9991752577319588,1.0,1.0,0.9991752577319588,0.03
1.0,1.0,0.9991749174917491,1.0,1.0,0.9991749174917491,0.0304
1.0,1.0,0.9991745769706974,1.0,1.0,0.9991745769706974,0.0308
1.0,1.0,0.9991742361684558,1.0,1.0,0.9991742361684558,0.0312
1.0,1.0,0.9991738950846758,1.0,1.0,0.9991738950846758,0.0316
1.0,1.0,0.9991735537190083,1.0,1.0,0.9991735537190083,0.032
1.0,1.0,0.9991732120711038,1.0,1.0,0.9991732120711038,0.0324
1.0,1.0,0.9991728701406121,1.0,1.0,0.9991728701406121,0.0328
1.0,1.0,0.9991725279271825,1.0,1.0,0.9983453983510838,0.0332
1.0,1.0,0.9991721854304636,1.0,1.0,0.9983447136412872,0.0336
1.0,1.0,0.9991718426501035,1.0,1.0,0.9983440283645608,0.034
1.0,1.0,0.9991714995857498,1.0,1.0,0.9983433425202001,0.0344
1.0,1.0,0.9991711562370493,1.0,1.0,0.9983426561074995,0.0348
1.0,1.0,0.9991708126036484,1.0,1.0,0.9983419691257525,0.0352
1.0,1.0,0.9991704686851929,1.0,1.0,0.9983412815742508,0.0356
1.0,1.0,0.9991701244813278,1.0,1.0,0.9983405934522857,0.036
1.0,1.0,0.9991697799916978,1.0,1.0,0.9983399047591466,0.0364
1.0,1.0,0.9991694352159468,1.0,1.0,0.9983392154941222,0.0368
1.0,1.0,0.9991690901537184,1.0,1.0,0.9983385256564999,0.0372
1.0,1.0,0.999168744804655,1.0,1.0,0.998337835245566,0.0376
1.0,1.0,0.9991683991683992,1.0,1.0,0.9983371442606052,0.038
1.0,1.0,0.9991680532445923,1.0,1.0,0.9983364527009014,0.0384
1.0,1.0,0.9991677070328756,1.0,1.0,0.9983357605657375,0.0388
1.0,1.0,0.9991673605328892,1.0,1.0,0.9983350678543945,0.0392
1.0,1.0,0.9991670137442732,1.0,1.0,0.998334374566153,0.0396
1.0,1.0,0.9991666666666666,1.0,1.0,0.9983336807002918,0.04
1.0,1.0,0.9991663192997082,1.0,1.0,0.9983329862560888,0.0404
1.0,1.0,0.9991659716430359,1.0,1.0,0.9983322912328205,0.0408
1.0,1.0,0.999165623696287,1.0,1.0,0.9983315956297626,0.0412
1.0,1.0,0.9991652754590985,1.0,1.0,0.998330899446189,0.0416
1.0,1.0,0.9991649269311065,1.0,1.0,0.9983302026813728,0.042
1.0,1.0,0.9991645781119465,1.0,1.0,0.998329505334586,0.0424
1.0,1.0,0.9991642290012537,1.0,1.0,0.9983288074050988,0.0428
1.0,1.0,0.9991638795986622,1.0,1.0,0.9983281088921807,0.0432
1.0,1.0,0.9983274097950998,1.0,1.0,0.9983274097950998,0.0436
1.0,1.0,0.9983267101131231,1.0,1.0,0.9983267101131231,0.044
1.0,1.0,0.9983260098455161,1.0,1.0,0.9983260098455161,0.0444
1.0,1.0,0.9983253089915434,1.0,1.0,0.9983253089915434,0.0448
1.0,1.0,0.998324607550468,1.0,1.0,0.998324607550468,0.0452
1.0,1.0,0.9983239055215521,1.0,1.0,0.9983239055215521,0.0456
1.0,1.0,0.9983232029040564,1.0,1.0,0.9983232029040564,0.046
1.0,1.0,0.9983224996972402,1.0,1.0,0.9983224996972402,0.0464
1.0,1.0,0.998321795900362,1.0,1.0,0.998321795900362,0.0468
1.0,1.0,0.9983210915126786,1.0,1.0,0.9983210915126786,0.0472
1.0,1.0,0.9983203865334458,1.0,1.0,0.9983203865334458,0.0476
1.0,1.0,0.9983196809619181,1.0,1.0,0.9983196809619181,0.048
1.0,1.0,0.998318974797349,1.0,1.0,0.998318974797349,0.0484
1.0,1.0,0.9983182680389902,1.0,1.0,0.49963396765965395,0.0488
1.0,1.0,0.9983175606860925,1.0,1.0,0.4996186093157065,0.0492
1.0,1.0,0.9983168527379054,1.0,1.0,0.4996034024455077,0.0496
1.0,1.0,0.9983161441936771,1.0,1.0,0.49958834744823305,0.05
1.0,1.0,0.9983154350526546,1.0,1.0,0.49957344472408105,0.0504
1.0,1.0,0.9983147253140836,1.0,1.0,0.49955869467427616,0.0508
1.0,1.0,0.9983140149772084,1.0,1.0,0.4995440977010718,0.0512
1.0,1.0,0.9983133040412723,1.0,1.0,0.49952965420775297,0.0516
1.0,1.0,0.998312592505517,1.0,1.0,0.4995153645986396,0.052
1.0,1.0,0.9983118803691831,1.0,1.0,0.49950122927908913,0.0524
1.0,1.0,0.9983111676315098,1.0,1.0,0.4994872486554996,0.0528
1.0,1.0,0.9983104542917354,1.0,1.0,0.49947342313531257,0.0532
1.0,1.0,0.9983097403490964,1.0,1.0,0.49945975312701607,0.0536
1.0,1.0,0.9983090258028282,1.0,1.0,0.4994462390401477,0.054
1.0,1.0,0.9983083106521651,1.0,1.0,0.4994328812852972,0.0544
1.0,1.0,0.9983075948963397,1.0,1.0,0.49941968027411016,0.0548
1.0,1.0,0.9983068785345838,1.0,1.0,0.4994066364192902,0.0552
1.0,1.0,0.9983061615661275,1.0,1.0,0.4993937501346025,0.0556
1.0,1.0,0.9983054439901998,1.0,1.0,0.49938102183487687,0.056
1.0,1.0,0.9983047258060282,1.0,1.0,0.4993684519360103,0.0564
1.0,1.0,0.9983040070128393,1.0,1.0,0.49892025738213963,0.0568
1.0,1.0,0.9983032876098578,1.0,1.0,0.4989079957616405,0.0572
1.0,1.0,0.9983025675963074,1.0,1.0,0.49889589393660855,0.0576
1.0,1.0,0.9983018469714107,1.0,1.0,0.4988839523276097,0.058
1.0,1.0,0.9983011257343885,1.0,1.0,0.49887217135629386,0.0584
1.0,1.0,0.9983004038844607,1.0,1.0,0.36745752274560484,0.0588
1.0,1.0,0.9982996814208457,1.0,1.0,0.367356704485282,0.0592
1.0,1.0,0.9982989583427604,0.9991492981709911,1.0,0.36725594360027874,0.0596
1.0,1.0,0.9982982346494208,0.9991489361702127,1.0,0.3671552403467297,0.06
1.0,1.0,0.998297510340041,0.9991485738612176,1.0,0.3670545949815174,0.0604
1.0,1.0,0.9982967854138344,0.9991482112436116,1.0,0.3669540077622744,0.0608
1.0,1.0,0.9982960598700124,0.9991478483170004,1.0,0.3668534789473856,0.0612
1.0,1.0,0.9982953337077856,0.9991474850809889,1.0,0.3667530087959908,0.0616
1.0,1.0,0.9982946069263628,0.9991471215351813,1.0,0.3666525975679865,0.062
1.0,1.0,0.998293879524952,0.9991467576791809,1.0,0.36655224552402843,0.0624
1.0,1.0,0.9982931515027593,0.9991463935125907,1.0,0.36645195292553395,0.0628
1.0,1.0,0.9982924228589898,0.9991460290350128,1.0,0.36635172003468414,0.0632
1.0,1.0,0.998291693592847,0.9991456642460487,1.0,0.3662515471144262,0.0636
1.0,1.0,0.9982909637035332,0.9991452991452991,1.0,0.3661514344284759,0.064
1.0,1.0,0.9982902331902493,0.9991449337323642,1.0,0.3660513822413196,0.0644
1.0,1.0,0.9982895020521949,0.9991445680068435,1.0,0.36595139081821687,0.0648
1.0,1.0,0.9982887702885681,0.9991442019683354,1.0,0.36585146042520267,0.0652
1.0,1.0,0.9982880378985656,0.9991438356164384,1.0,0.3657515913290898,0.0656
1.0,1.0,0.998287304881383,0.9991434689507495,1.0,0.36565178379747115,0.066
1.0,1.0,0.9982865712362141,0.9991431019708654,1.0,0.36555203809872217,0.0664
1.0,1.0,0.9982858369622517,0.9991427346763824,1.0,0.3654523545020031,0.0668
1.0,1.0,0.9982851020586869,0.9991423670668954,1.0,0.3653527332772616,0.0672
1.0,1.0,0.9982843665247099,0.9991419991419992,1.0,0.3652531746952348,0.0676
1.0,1.0,0.9982836303595088,0.9991416309012876,1.0,0.36515367902745194,0.068
1.0,1.0,0.9982828935622711,0.9991412623443539,0.9991412623443539,0.3650542465462368,0.0684
1.0,1.0,0.49892676292204025,0.9991408934707904,0.9991408934707904,0.36495487752470995,0.0688
1.0,1.0,0.4989260248582844,0.9991405242801891,0.9991405242801891,0.3648555722367911,0.0692
1.0,1.0,0.49892584066050905,0.999140154772141,0.999140154772141,0.3647563309572019,0.0696
1.0,1.0,0.4989258416153092,0.9991397849462366,0.9991397849462366,0.364657153961468,0.07
1.0,1.0,0.4989249168125673,0.9991394148020654,0.9991394148020654,0.36455804152592164,0.0704
1.0,1.0,0.49892417620595897,0.9991390443392165,0.9991390443392165,0.24990480173733584,0.0708
1.0,1.0,0.49892399137411814,0.9991386735572783,0.9991386735572783,0.24989674102426224,0.0712
